manufacturer,model,year,description,comfort,performance,fuel_efficiency,safety,technology
Subaru,Forester Limited,2020,Highly recommended by users. Comfortable ride. Outstanding performance. Fuel efficient. Excellent safety features. Advanced technology.,10,9,9,9,10
Volkswagen,ID.3 Pro,2019,Highly recommended by users. Comfortable ride. Performance is decent. Fuel efficient. Safety is satisfactory. Technology is moderate.,9,7,8,7,7
Volkswagen,T-Roc R,2021,Highly recommended by users. Comfortable ride. Outstanding performance. Fuel efficient. Excellent safety features. Advanced technology.,10,9,9,9,10
Ford,Mach-E GT,2020,Highly recommended by users. Comfortable ride. Performance is decent. Fuel efficient. Safety is satisfactory. Technology is moderate.,9,7,8,7,7
Ford,Transit Connect,2019,Highly recommended by users. Comfortable ride. Outstanding performance. Fuel efficient. Excellent safety features. Advanced technology.,10,9,9,9,10
Chevrolet,Bolt EV,2021,Highly recommended by users. Comfortable ride. Performance is decent. Fuel efficient. Safety is satisfactory. Technology is moderate.,9,7,8,7,7
Chevrolet,Spark ACTIV,2020,Highly recommended by users. Comfortable ride. Outstanding performance. Fuel efficient. Excellent safety features. Advanced technology.,10,9,9,9,10
Ram,1500 Laramie,2019,Highly recommended by users. Comfortable ride. Performance is decent. Fuel efficient. Safety is satisfactory. Technology is moderate.,9,7,8,7,7
Ram,3500 Limited,2021,Highly recommended by users. Comfortable ride. Outstanding performance. Fuel efficient. Excellent safety features. Advanced technology.,10,9,9,9,10
GMC,Sierra 1500 AT4,2020,Highly recommended by users. Comfortable ride. Performance is decent. Fuel efficient. Safety is satisfactory. Technology is moderate.,9,7,8,7,7
GMC,Sierra 2500 Denali,2019,Highly recommended by users. Comfortable ride. Outstanding performance. Fuel efficient. Excellent safety features. Advanced technology.,10,9,9,9,10
Nissan,Versa Note,2021,Highly recommended by users. Comfortable ride. Performance is decent. Fuel efficient. Safety is satisfactory. Technology is moderate.,9,7,8,7,7
Nissan,Sentra Nismo,2020,Highly recommended by users. Comfortable ride. Outstanding performance. Fuel efficient. Excellent safety features. Advanced technology.,10,9,9,9,10
Toyota,Yaris GR,2019,Highly recommended by users. Comfortable ride. Performance is decent. Fuel efficient. Safety is satisfactory. Technology is moderate.,9,7,8,7,7
Toyota,Avalon TRD,2021,Highly recommended by users. Comfortable ride. Outstanding performance. Fuel efficient. Excellent safety features. Advanced technology.,10,9,9,9,10
Jeep,Commander Overland,2020,Highly recommended by users. Comfortable ride. Performance is decent. Fuel efficient. Safety is satisfactory. Technology is moderate.,9,7,8,7,7
Jeep,Compass Latitude,2019,Highly recommended by users. Comfortable ride. Outstanding performance. Fuel efficient. Excellent safety features. Advanced technology.,10,9,9,9,10
Jeep,Wrangler Unlimited,2020,Highly recommended by users. Comfortable ride. Performance is decent. Fuel efficient. Safety is satisfactory. Technology is moderate.,9,7,8,7,7
Porsche,Panamera,2019,Highly recommended by users. Comfortable less ride. Outstanding performance. Less Fuel efficient. Excellent safety features. Moderate technology.,1,9,3,9,8
Jeep,Liberty,2019,Highly recommended by users. Comfortable ride. Outstanding performance. Fuel efficient. Excellent safety features. Advanced technology.,10,9,9,9,10
Hyundai,Ioniq,2021,Highly recommended by users. Comfortable ride. Performance is decent. Fuel efficient. Safety is satisfactory. Technology is moderate.,9,7,8,7,7
Hyundai,Nexo,2020,Highly recommended by users. Comfortable ride. Outstanding performance. Fuel efficient. Excellent safety features. Advanced technology.,10,9,9,9,10
Kia,Rio,2019,Highly recommended by users. Comfortable ride. Performance is decent. Fuel efficient. Safety is satisfactory. Technology is moderate.,9,7,8,7,7
Kia,Forte,2021,Highly recommended by users. Comfortable ride. Outstanding performance. Fuel efficient. Excellent safety features. Advanced technology.,10,9,9,9,10
Mazda,2,2020,Highly recommended by users. Comfortable ride. Performance is decent. Fuel efficient. Safety is satisfactory. Technology is moderate.,9,7,8,7,7
Mazda,MX-5,2019,Highly recommended by users. Comfortable ride. Outstanding performance. Fuel efficient. Excellent safety features. Advanced technology.,10,9,9,9,10
Subaru,Outback Wilderness,2021,Highly recommended by users. Comfortable ride. Performance is decent. Fuel efficient. Safety is satisfactory. Technology is moderate.,9,7,8,7,7
Subaru,Forester Sport,2020,Highly recommended by users. Comfortable ride. Outstanding performance. Fuel efficient. Excellent safety features. Advanced technology.,10,9,9,9,10
Volkswagen,ID.3,2019,Highly recommended by users. Comfortable ride. Performance is decent. Fuel efficient. Safety is satisfactory. Technology is moderate.,9,7,8,7,7
Volkswagen,T-Roc,2021,Highly recommended by users. Comfortable ride. Outstanding performance. Fuel efficient. Excellent safety features. Advanced technology.,10,9,9,9,10
Porsche,Panamera,2019,Highly recommended by users. Comfortable ride. Outstanding performance. Less Fuel efficient. Excellent safety features. Moderate technology.,1,8,2,7,7
Ford,Mach-E,2020,Highly recommended by users. Comfortable ride. Performance is decent. Fuel efficient. Safety is satisfactory. Technology is moderate.,9,7,8,7,7
Ford,Transit,2019,Highly recommended by users. Comfortable ride. Outstanding performance. Fuel efficient. Excellent safety features. Advanced technology.,10,9,9,9,10
Chevrolet,Bolt,2021,Highly recommended by users. Comfortable ride. Performance is decent. Fuel efficient. Safety is satisfactory. Technology is moderate.,9,7,8,7,7
Chevrolet,Spark,2020,Highly recommended by users. Comfortable ride. Outstanding performance. Fuel efficient. Excellent safety features. Advanced technology.,10,9,9,9,10
Ram,1500 Classic,2019,Highly recommended by users. Comfortable ride. Performance is decent. Fuel efficient. Safety is satisfactory. Technology is moderate.,9,7,8,7,7
Ram,3500,2021,Highly recommended by users. Comfortable ride. Outstanding performance. Fuel efficient. Excellent safety features. Advanced technology.,10,9,9,9,10
GMC,Sierra 1500,2020,Highly recommended by users. Comfortable ride. Performance is decent. Fuel efficient. Safety is satisfactory. Technology is moderate.,9,7,8,7,7
GMC,Sierra 2500,2019,Highly recommended by users. Comfortable ride. Outstanding performance. Fuel efficient. Excellent safety features. Advanced technology.,10,9,9,9,10
Nissan,Versa,2021,Highly recommended by users. Comfortable ride. Performance is decent. Fuel efficient. Safety is satisfactory. Technology is moderate.,9,7,8,7,7
Nissan,Sentra,2020,Highly recommended by users. Comfortable ride. Outstanding performance. Fuel efficient. Excellent safety features. Advanced technology.,10,9,9,9,10
Toyota,Yaris,2019,Highly recommended by users. Comfortable ride. Performance is decent. Fuel efficient. Safety is satisfactory. Technology is moderate.,9,7,8,7,7
Toyota,Camry TRD,2021,Highly recommended by users. Comfortable ride. Outstanding performance. Fuel efficient. Excellent safety features. Advanced technology.,10,9,9,9,10
Jeep,Grand Cherokee L,2020,Highly recommended by users. Comfortable ride. Performance is decent. Fuel efficient. Safety is satisfactory. Technology is moderate.,9,7,8,7,7
Jeep,Gladiator Mojave,2019,Highly recommended by users. Comfortable ride. Outstanding performance. Fuel efficient. Excellent safety features. Advanced technology.,10,9,9,9,10
Hyundai,Sonata Hybrid,2021,Highly recommended by users. Comfortable ride. Performance is decent. Fuel efficient. Safety is satisfactory. Technology is moderate.,9,7,8,7,7
Hyundai,Veloster N,2020,Highly recommended by users. Comfortable ride. Outstanding performance. Fuel efficient. Excellent safety features. Advanced technology.,10,9,9,9,10
Kia,Stinger GT,2019,Highly recommended by users. Comfortable ride. Performance is decent. Fuel efficient. Safety is satisfactory. Technology is moderate.,9,7,8,7,7
Kia,Optima Hybrid,2021,Highly recommended by users. Comfortable ride. Outstanding performance. Fuel efficient. Excellent safety features. Advanced technology.,10,9,9,9,10
Mazda,3 Hatchback,2020,Highly recommended by users. Comfortable ride. Performance is decent. Fuel efficient. Safety is satisfactory. Technology is moderate.,9,7,8,7,7
Mazda,6 Signature,2019,Highly recommended by users. Comfortable ride. Outstanding performance. Fuel efficient. Excellent safety features. Advanced technology.,10,9,9,9,10
Subaru,Impreza Sport,2021,Highly recommended by users. Comfortable ride. Performance is decent. Fuel efficient. Safety is satisfactory. Technology is moderate.,9,7,8,7,7
Subaru,WRX STI,2020,Highly recommended by users. Comfortable ride. Outstanding performance. Fuel efficient. Excellent safety features. Advanced technology.,10,9,9,9,10
Volkswagen,Atlas Cross Sport,2019,Highly recommended by users. Comfortable ride. Performance is decent. Fuel efficient. Safety is satisfactory. Technology is moderate.,9,7,8,7,7
Volkswagen,ID.4 GTX,2021,Highly recommended by users. Comfortable ride. Outstanding performance. Fuel efficient. Excellent safety features. Advanced technology.,10,9,9,9,10
Ford,Mustang GT,2020,Highly recommended by users. Comfortable ride. Performance is decent. Fuel efficient. Safety is satisfactory. Technology is moderate.,9,7,8,7,7
Ford,Expedition Max,2019,Highly recommended by users. Comfortable ride. Outstanding performance. Fuel efficient. Excellent safety features. Advanced technology.,10,9,9,9,10
Porsche,Panamera,2017,Highly recommended by users. Comfortable ride. Outstanding performance. Less Fuel efficient. Excellent safety features. Advanced technology.,6,6,6,6,6
